english,pos,cefr,translation_tr,alt_translation_tr,disambiguation,warning
advance,adjective,B2,ön,,bijvoeglijk naamwoord — zie ook advance (zelfstandig/werkwoord),
advanced,adjective,B1,ileri düzey,,,
advantage,noun,A2,avantaj,,,
adventure,noun,A2,macera,,,
adverse,adjective,C1,olumsuz,ters,,
advertise,verb,A2,reklamını yapmak,,,
advertisement,noun,A2,reklam,,,
advertising,noun,A2,reklamcılık,,,
advice,noun,A1,tavsiye,öğüt,,
advise,verb,B1,tavsiye etmek,,,
advocate,noun,C1,savunucu,,,
advocate,verb,C1,savunmak,,,
aesthetic,adjective,C1,estetik,,,
affair,noun,B2,mesele,,zelfstandig naamwoord (kwestie/zaak) — zie ook affair (buitenechtelijke relatie),
affair,noun,C1,aşk ilişkisi,,zelfstandig naamwoord (buitenechtelijke liefdesrelatie) — zie ook affair (kwestie),
affect,verb,A2,etkilemek,,,
affection,noun,C1,sevgi,şefkat,,
afford,verb,B1,gücü yetmek,,,
affordable,adjective,B2,uygun fiyatlı,ekonomik,,
afraid,adjective,A1,korkmuş,,,
after,preposition,A1,sonra,,zie ook after (bijwoord/voegwoord),
after,adverb,A2,sonra,,zie ook after (voorzetsel),
aftermath,noun,C1,sonrası,art etki,,
afternoon,noun,A1,öğleden sonra,,,
afterward,adverb,B2,daha sonra,,,
again,adverb,A1,tekrar,yine,,
against,preposition,A2,karşı,,,
age,noun,A1,yaş,,zelfstandig naamwoord — zie ook age (werkwoord),
age,verb,B1,yaşlanmak,,werkwoord — zie ook age (zelfstandig naamwoord),
aged,adjective,B2,yaşlı,,,
agency,noun,B2,ajans,,,
agenda,noun,B2,gündem,,,
agent,noun,B1,ajan,temsilci,,
aggression,noun,C1,saldırganlık,,,
aggressive,adjective,B2,saldırgan,,,
ago,adverb,A1,önce,,,
agree,verb,A1,katılmak,aynı fikirde olmak,,
agreement,noun,B1,anlaşma,,,
agricultural,adjective,C1,tarımsal,,,
agriculture,noun,B2,tarım,,,
ah,exclamation,A2,ah,,,
ahead,adverb,B1,ileride,önde,,
aid,noun,B2,yardım,,zelfstandig naamwoord — zie ook aid (werkwoord),
aid,verb,B2,yardım etmek,,werkwoord — zie ook aid (zelfstandig naamwoord),
aide,noun,C1,yardımcı,,,
aim,verb,B1,amaçlamak,,werkwoord — zie ook aim (zelfstandig naamwoord),
aim,noun,B1,amaç,,zelfstandig naamwoord — zie ook aim (werkwoord),
air,noun,A1,hava,,,
aircraft,noun,B2,uçak,,,
airline,noun,A2,havayolu,,,
airport,noun,A1,havaalanı,,,
alarm,noun,B1,alarm,,zelfstandig naamwoord — zie ook alarm (werkwoord),
alarm,verb,B2,alarma geçirmek,endişelendirmek,werkwoord — zie ook alarm (zelfstandig naamwoord),
album,noun,B1,albüm,,,
alcohol,noun,B1,alkol,,,
alcoholic,adjective,B1,alkollü,,,
alert,adjective,C1,tetikte,uyanık,,
alert,noun,C1,alarm,uyarı,,
alert,verb,C1,uyarmak,,,
alien,noun,B2,uzaylı,yabancı,,
alien,adjective,C1,yabancı,,,
align,verb,C1,hizalamak,uyumlu hale getirmek,,
alignment,noun,C1,hizalama,uyum,,
alike,adjective,C1,benzer,,,
alike,adverb,C1,aynı şekilde,,,
alive,adjective,A2,canlı,hayatta,,
all,determiner,A1,hepsi,tüm,,
all right,adjective,A2,iyi,tamam,,
allegation,noun,C1,iddia,,,
allege,verb,C1,iddia etmek,,,
allegedly,adverb,C1,iddiaya göre,,,
alliance,noun,C1,ittifak,,,
allocate,verb,C1,tahsis etmek,ayırmak,,
allocation,noun,C1,tahsis,dağıtım,,
allow,verb,A2,izin vermek,,,
allowance,noun,C1,ödenek,harçlık,,
ally,noun,C1,müttefik,,,
almost,adverb,A2,neredeyse,,,
alone,adjective,A2,yalnız,,,
along,preposition,A2,boyunca,,,
alongside,preposition,B2,yanında,birlikte,,
already,adverb,A2,zaten,,,
also,adverb,A1,ayrıca,de/da,,
alter,verb,B2,değiştirmek,,,
alternative,noun,A2,alternatif,,zelfstandig naamwoord — zie ook alternative (bijvoeglijk),
alternative,adjective,B1,alternatif,,bijvoeglijk naamwoord — zie ook alternative (zelfstandig),
although,conjunction,A2,rağmen,her ne kadar,,
altogether,adverb,B2,tamamen,toptan,,
aluminum,noun,C1,alüminyum,,,
always,adverb,A1,her zaman,,,
amateur,adjective/noun,C1,amatör,,,
amazed,adjective,B1,hayrete düşmüş,şaşkın,,
amazing,adjective,A1,şaşırtıcı,harika,,
ambassador,noun,C1,büyükelçi,,,
ambition,noun,B1,hırs,tutku,,
ambitious,adjective,B2,hırslı,iddialı,,
ambulance,noun,B2,ambulans,,,
amend,verb,C1,değiştirmek,düzeltmek,,
amendment,noun,C1,değişiklik,tadilat,,
amid,preposition,C1,ortasında,arasında,,
among,preposition,A2,arasında,,,
amount,noun,A2,miktar,,zelfstandig naamwoord — zie ook amount (werkwoord),
amount,verb,B2,varmak,toplamına ulaşmak,werkwoord — zie ook amount (zelfstandig naamwoord),
amusing,adjective,B2,eğlenceli,komik,,
analogy,noun,C1,benzetme,analoji,,
analysis,noun,B1,analiz,,,
analyst,noun,B2,analist,,,
analyze,verb,A2,analiz etmek,,,
ancestor,noun,B2,ata,,,
anchor,noun,B2,çapa,,zelfstandig naamwoord (scheepsanker) — zie ook anchor (nieuwslezer),
anchor,noun,C1,haber sunucusu,,zelfstandig naamwoord (nieuwslezer/presentator) — zie ook anchor (anker),
ancient,adjective,A2,antik,eski,,
and,conjunction,A1,ve,,,
angel,noun,C1,melek,,,
anger,noun,B2,öfke,,,
angle,noun,B2,açı,,,
angry,adjective,A1,kızgın,öfkeli,,
animal,noun,A1,hayvan,,,
animation,noun,B2,animasyon,,,
ankle,noun,A2,ayak bileği,,,
anniversary,noun,B2,yıldönümü,,,
announce,verb,B1,duyurmak,,,
announcement,noun,B1,duyuru,,,
annoy,verb,B1,sinirlendirmek,rahatsız etmek,,
annoyed,adjective,B1,sinirlenmiş,,,
annoying,adjective,B1,sinir bozucu,,,
annual,adjective,B2,yıllık,,,
annually,adverb,B2,yıllık olarak,her yıl,,
anonymous,adjective,C1,anonim,isimsiz,,
another,determiner,A1,başka bir,,,
answer,noun,A1,cevap,,zelfstandig naamwoord — zie ook answer (werkwoord),
answer,verb,A1,cevaplamak,,werkwoord — zie ook answer (zelfstandig naamwoord),
anticipate,verb,B2,beklemek,öngörmek,,
anxiety,noun,B2,kaygı,endişe,,
anxious,adjective,B2,endişeli,kaygılı,,
any,determiner,A1,herhangi bir,,,
anybody,pronoun,A2,herhangi biri,,,
anymore,adverb,A2,artık,,,
anyone,pronoun,A1,herhangi biri,kimse,,
anything,pronoun,A1,herhangi bir şey,,,
anyway,adverb,A2,her neyse,,,
anywhere,adverb,A2,herhangi bir yerde,,,
apart,adverb,B1,ayrı,,,
apartment,noun,A1,daire,,,
apologize,verb,B1,özür dilemek,,,
apology,noun,B2,özür,,,
app,noun,A2,uygulama,,,
apparatus,noun,C1,aygıt,cihaz,,
apparel,noun,C1,giyim,kıyafet,"Amerikaans-Engels, formeel",
apparent,adjective,B2,görünür,açık,,
apparently,adverb,B2,görünüşe göre,,,
appeal,noun,B2,çekicilik,,zelfstandig naamwoord (aantrekkingskracht) — zie ook appeal (hoger beroep),
appeal,noun,C1,temyiz,,zelfstandig naamwoord (juridisch hoger beroep) — zie ook appeal (aantrekkingskracht),
appeal,verb,B2,çekici gelmek,,werkwoord (aantrekkelijk zijn) — zie ook appeal (in beroep gaan),
appeal,verb,C1,itiraz etmek,,werkwoord (in beroep gaan tegen een beslissing) — zie ook appeal (aantrekkelijk zijn),
appealing,adjective,C1,çekici,cazip,,
appear,verb,A2,görünmek,ortaya çıkmak,,
appearance,noun,A2,görünüm,görünüş,,
appetite,noun,C1,iştah,,,
applaud,verb,C1,alkışlamak,,,
apple,noun,A1,elma,,,
applicable,adjective,C1,geçerli,uygulanabilir,,
applicant,noun,B2,başvuran,aday,,
application,noun,B1,başvuru,uygulama,,
apply,verb,A2,başvurmak,uygulamak,,
appoint,verb,C1,atamak,,,
appointment,noun,B1,randevu,,,
appreciate,verb,B1,takdir etmek,,,
appreciation,noun,C1,takdir,minnettarlık,,
approach,noun,B2,yaklaşım,,zelfstandig naamwoord — zie ook approach (werkwoord),
approach,verb,B2,yaklaşmak,,werkwoord — zie ook approach (zelfstandig naamwoord),
appropriate,adjective,B2,uygun,,,
appropriately,adverb,B2,uygun şekilde,,,
approval,noun,B2,onay,,,
approve,verb,B2,onaylamak,,,
approximately,adverb,B1,yaklaşık olarak,,,
arbitrary,adjective,C1,keyfi,,,
architect,noun,A2,mimar,,,
architectural,adjective,C1,mimari,,,
architecture,noun,A2,mimarlık,,,
archive,noun,C1,arşiv,,,
area,noun,A1,alan,bölge,,
arena,noun,C1,arena,,,
argue,verb,A2,tartışmak,,,
argument,noun,A2,tartışma,argüman,,
arise,verb,B2,ortaya çıkmak,,,
arm,verb,C1,silahlandırmak,,"werkwoord — niet te verwarren met arm (lichaamsdeel, A1)",
arm,noun,A1,kol,,,
armed,adjective,B2,silahlı,,,
arms,noun,B2,silahlar,,,
army,noun,A2,ordu,,,
around,preposition,A1,etrafında,çevresinde,,
arrange,verb,A2,düzenlemek,ayarlamak,,
arrangement,noun,A2,düzenleme,ayarlama,,
array,noun,C1,dizi,çeşitlilik,,
arrest,verb,B1,tutuklamak,,werkwoord — zie ook arrest (zelfstandig naamwoord),
arrest,noun,B1,tutuklama,,zelfstandig naamwoord — zie ook arrest (werkwoord),
arrival,noun,B1,varış,,,
arrive,verb,A1,varmak,,,
arrow,noun,B2,ok,,,
art,noun,A1,sanat,,,
article,noun,A1,makale,,,
articulate,verb,C1,dile getirmek,ifade etmek,,
artificial,adjective,B2,yapay,,,
artist,noun,A1,sanatçı,,,
artistic,adjective,B2,sanatsal,,,
artwork,noun,B2,sanat eseri,,,
as,preposition,A1,gibi,olarak,zie ook as (bijwoord/voegwoord),
ash,noun,C1,kül,,,
ashamed,adjective,B2,utanmış,,,
aside,adverb,B2,kenara,bir yana,,
ask,verb,A1,sormak,,,
asleep,adjective,A2,uykuda,,,
aspect,noun,B2,yön,boyut,,
aspiration,noun,C1,özlem,emel,,
aspire,verb,C1,özlemini çekmek,hedeflemek,,
assassination,noun,C1,suikast,,,
assault,noun,C1,saldırı,,,
assault,verb,C1,saldırmak,,,
assemble,verb,C1,toplamak,monte etmek,,
assembly,noun,C1,meclis,montaj,"parlement/vergadering, of technische montage",
assert,verb,C1,iddia etmek,öne sürmek,,
assertion,noun,C1,iddia,,,
assess,verb,B2,değerlendirmek,,,
assessment,noun,B2,değerlendirme,,,
asset,noun,B2,varlık,,,
assign,verb,B2,atamak,görevlendirmek,,
assignment,noun,B1,ödev,görev,,
assist,verb,B1,yardım etmek,,,
assistance,noun,B2,yardım,,,
assistant,noun,A2,asistan,,,
associate,verb,B2,ilişkilendirmek,,,
associated,adjective,B2,ilişkili,,,
association,noun,B2,dernek,birlik,,
assume,verb,B2,varsaymak,,,
assumption,noun,B2,varsayım,,,
assurance,noun,C1,güvence,,,
assure,verb,B2,temin etmek,güvence vermek,,
astonishing,adjective,B2,şaşırtıcı,,,
asylum,noun,C1,sığınma,iltica,,
at,preposition,A1,-de,,,
athlete,noun,A2,sporcu,,,
athletic,adjective,B2,atletik,,,
atmosphere,noun,B1,atmosfer,hava,,
atrocity,noun,C1,vahşet,mezalim,,
attach,verb,B1,eklemek,iliştirmek,,
attachment,noun,B2,bağlılık,ek,"emotionele gehechtheid, of bijlage (e-mail)",
attack,noun,A2,saldırı,,zelfstandig naamwoord — zie ook attack (werkwoord),
attack,verb,A2,saldırmak,,werkwoord — zie ook attack (zelfstandig naamwoord),
attain,verb,C1,elde etmek,ulaşmak,,
attempt,noun,B2,girişim,,zelfstandig naamwoord — zie ook attempt (werkwoord),
attempt,verb,B2,girişmek,denemek,werkwoord — zie ook attempt (zelfstandig naamwoord),
attend,verb,A2,katılmak,,,
attendance,noun,C1,katılım,devam,,
attention,noun,A2,dikkat,,,
attitude,noun,B1,tutum,,,
attorney,noun,B2,avukat,,,
attract,verb,B1,çekmek,,,
attraction,noun,B1,çekicilik,cazibe merkezi,,
attractive,adjective,A2,çekici,,,
attribute,verb,C1,atfetmek,,,
attribute,noun,C1,özellik,,,
auction,noun,C1,açık artırma,müzayede,,
audience,noun,A2,izleyici,seyirci,,
audio,adjective,B2,ses,işitsel,,
audit,noun,C1,denetim,,,
aunt,noun,A1,teyze,hala,,
authentic,adjective,C1,otantik,gerçek,,
author,noun,A2,yazar,,,
authority,noun,B1,yetki,otorite,,
authorize,verb,C1,yetki vermek,,,
auto,noun,C1,araba,otomobil,,
automatic,adjective,B1,otomatik,,,
automatically,adverb,B1,otomatik olarak,,,
autonomy,noun,C1,özerklik,,,
autumn,noun,C1,sonbahar,,,
availability,noun,C1,kullanılabilirlik,müsaitlik,,
available,adjective,A2,mevcut,müsait,,
average,adjective,A2,ortalama,,bijvoeglijk/zelfstandig naamwoord — zie ook average (werkwoord),
average,verb,B1,ortalamasını almak,,werkwoord — zie ook average (bijvoeglijk/zelfstandig),
avoid,verb,A2,kaçınmak,,,
await,verb,C1,beklemek,,,
award,noun,A2,ödül,,zelfstandig naamwoord — zie ook award (werkwoord),
award,verb,B1,ödüllendirmek,,werkwoord — zie ook award (zelfstandig naamwoord),
aware,adjective,B1,farkında,,,
awareness,noun,B2,farkındalık,,,
away,adverb,A1,uzakta,uzağa,,
awesome,adjective,A1,harika,müthiş,,informeel
awful,adjective,A2,berbat,korkunç,,
awkward,adjective,B2,garip,sakıncalı,,
baby,noun,A1,bebek,,,
back,noun,A1,sırt,,zelfstandig naamwoord — zie ook back (bijwoord/bijvoeglijk/werkwoord),
back,adverb,A1,geri,,bijwoord — zie ook back (zelfstandig/bijvoeglijk/werkwoord),
back,adjective,A2,arka,,bijvoeglijk naamwoord — zie ook back (zelfstandig/bijwoord/werkwoord),
back,verb,B2,desteklemek,geri gitmek,werkwoord — zie ook back (zelfstandig/bijwoord/bijvoeglijk),
backdrop,noun,C1,arka plan,fon,,
background,noun,A2,arka plan,geçmiş,,
backing,noun,C1,destek,,,
backup,noun,C1,yedek,,,
backward,adverb,B1,geriye doğru,,,
bacteria,noun,B2,bakteri,,,
bad,adjective,A1,kötü,,,
badge,noun,B2,rozet,kimlik kartı,,
badly,adverb,A2,kötü bir şekilde,,,
bag,noun,A1,çanta,,,
bail,noun,C1,kefalet,,,
bake,verb,B1,fırınlamak,,,
balance,noun,B1,denge,,zelfstandig naamwoord — zie ook balance (werkwoord),
balance,verb,B1,dengelemek,,werkwoord — zie ook balance (zelfstandig naamwoord),
balanced,adjective,B2,dengeli,,,
ball,noun,A1,top,,,
ballet,noun,B2,bale,,,
balloon,noun,B2,balon,,,
ballot,noun,C1,oy pusulası,oylama,,
ban,verb,B1,yasaklamak,,werkwoord — zie ook ban (zelfstandig naamwoord),
ban,noun,B1,yasak,,zelfstandig naamwoord — zie ook ban (werkwoord),
banana,noun,A1,muz,,,
band,noun,A1,grup,,zelfstandig naamwoord (muziekgroep) — zie ook band (materiaal),
band,noun,A1,şerit,,"zelfstandig naamwoord (materiaal, bv. elastiekje) — zie ook band (muziekgroep)",
bank,noun,A1,banka,,zelfstandig naamwoord (para) — zie ook bank (kıyı),
bank,noun,B1,nehir kıyısı,,zelfstandig naamwoord (kıyı) — zie ook bank (banka),
bankruptcy,noun,C1,iflas,,,
banner,noun,C1,pankart,afiş,,
bar,verb,B2,yasaklamak,engellemek,werkwoord — zie ook bar (zelfstandig naamwoord),
bar,noun,A1,bar,,zelfstandig naamwoord (café/kroeg) — zie ook bar (staaf),
bar,noun,B1,çubuk,,"zelfstandig naamwoord (staaf/reep, bv. chocoladereep) — zie ook bar (café)",
bare,adjective,C1,çıplak,yalın,,
barely,adverb,B2,zar zor,güçlükle,,
bargain,noun,B2,pazarlık,kelepir,"onderhandeling, of koopje",
barrel,noun,C1,varil,,,
barrier,noun,B2,engel,bariyer,,
base,verb,B1,dayandırmak,,werkwoord — zie ook base (zelfstandig naamwoord),
base,noun,B1,temel,,zelfstandig naamwoord (fundament/basis) — zie ook base (legerbasis),
base,noun,B2,üs,,zelfstandig naamwoord (militaire basis) — zie ook base (fundament),
baseball,noun,A1,beyzbol,,,
based,adjective,A2,dayalı,merkezli,,
basement,noun,B2,bodrum,,,
basic,adjective,B1,temel,,,
basically,adverb,B2,temelde,aslında,,
basis,noun,B1,temel (esas),,,
basket,noun,B2,sepet,,,
basketball,noun,A1,basketbol,,,
bass,noun,C1,bas,,"zelfstandig naamwoord (lage stem/toon, muziek) — zie ook bass (vis)",
bass,noun,C1,levrek,,zelfstandig naamwoord (de vis) — zie ook bass (muzieknoot),
bat,noun,B2,yarasa,,dier — zie ook bat (werkwoord/sportmateriaal),
bat,verb,C1,vurmak,,werkwoord (honkbal e.d.) — zie ook bat (dier),
bath,noun,A1,banyo,,,
bathroom,noun,A1,banyo (oda),,,
battery,noun,B1,pil,akü,,
battle,noun,B1,savaş,muharebe,zelfstandig naamwoord — zie ook battle (werkwoord),
battle,verb,B2,mücadele etmek,,werkwoord — zie ook battle (zelfstandig naamwoord),
battlefield,noun,C1,savaş alanı,,,
bay,noun,C1,körfez,,,
be,verb,A1,olmak,,,
beach,noun,A1,plaj,,,
beam,noun,C1,ışın,kiriş,"lichtstraal, of bouwbalk",
bean,noun,A2,fasulye,,,
bear,verb,B2,katlanmak,taşımak,werkwoord — zie ook bear (dier),
bear,noun,A2,ayı,,zelfstandig naamwoord — zie ook bear (werkwoord),
beast,noun,C1,canavar,hayvan,,
beat,verb,A2,yenmek,dövmek,werkwoord — zie ook beat (zelfstandig naamwoord),
beat,noun,B2,ritim,,zelfstandig naamwoord — zie ook beat (werkwoord),
beautiful,adjective,A1,güzel,,,
beauty,noun,B1,güzellik,,,
because,conjunction,A1,çünkü,,,
become,verb,A1,olmak (haline gelmek),,,
bed,noun,A1,yatak,,,
bedroom,noun,A1,yatak odası,,,
bee,noun,B1,arı,,,
beef,noun,A2,sığır eti,,,
beer,noun,A1,bira,,,
before,preposition,A1,önce,,,
beg,verb,B2,yalvarmak,dilenmek,,
begin,verb,A1,başlamak,,,
beginning,noun,A1,başlangıç,,,
behalf,noun,C1,adına,,,
behave,verb,A2,davranmak,,,
behavior,noun,A2,davranış,,,
behavioral,adjective,C1,davranışsal,,,
behind,preposition,A1,arkasında,,,
being,noun,B2,varlık,,,
belief,noun,B1,inanç,,,
believe,verb,A1,inanmak,,,
bell,noun,B1,zil,çan,,
belong,verb,A2,ait olmak,,,
beloved,adjective,C1,sevgili,sevilen,,
below,adverb,A1,aşağıda,altında,,
belt,noun,A2,kemer,,,
bench,noun,C1,bank,,,
benchmark,noun,C1,kıyaslama ölçütü,referans,,
bend,verb,B1,eğmek,bükmek,werkwoord — zie ook bend (zelfstandig naamwoord),
bend,noun,B1,viraj,kıvrım,zelfstandig naamwoord — zie ook bend (werkwoord),
beneath,preposition,C1,altında,,,
beneficial,adjective,B2,faydalı,yararlı,,
beneficiary,noun,C1,yararlanıcı,,,
benefit,noun,A2,fayda,,zelfstandig naamwoord — zie ook benefit (werkwoord),
benefit,verb,B1,fayda sağlamak,,werkwoord — zie ook benefit (zelfstandig naamwoord),
bent,adjective,B2,eğik,bükülmüş,,
beside,preposition,B2,yanında,,,
besides,preposition,B2,dışında,,,'besides' als voorzetsel — zie ook bijwoord
besides,adverb,B2,ayrıca,üstelik,bijwoord — zie ook voorzetsel,
best,adjective,A1,en iyi,,,
bet,verb,B2,bahse girmek,,werkwoord — zie ook bet (zelfstandig naamwoord),
bet,noun,B2,bahis,,zelfstandig naamwoord — zie ook bet (werkwoord),
betray,verb,C1,ihanet etmek,,,
better,adjective,A1,daha iyi,,,
between,preposition,A1,arasında,,,
beverage,noun,C1,içecek,,,
beyond,preposition,B2,ötesinde,,,
bias,noun,B2,önyargı,yanlılık,,
bicycle,noun,A1,bisiklet,,,
bid,noun,B2,teklif,,zelfstandig naamwoord — zie ook bid (werkwoord),
bid,verb,B2,teklif vermek,,werkwoord — zie ook bid (zelfstandig naamwoord),
big,adjective,A1,büyük,,,
bike,noun,A1,bisiklet,,,informeel
bill,noun,A1,fatura,,zelfstandig naamwoord — zie ook bill (werkwoord),
bill,verb,B2,fatura kesmek,,werkwoord — zie ook bill (zelfstandig naamwoord),
billion,number,A2,milyar,,,
bind,verb,C1,bağlamak,,,
biography,noun,C1,biyografi,,,
biological,adjective,B2,biyolojik,,,
biology,noun,A2,biyoloji,,,
bird,noun,A1,kuş,,,
birth,noun,A2,doğum,,,
birthday,noun,A1,doğum günü,,,
bishop,noun,C1,piskopos,,,
bit,noun,A2,biraz,parça,,
bite,verb,B1,ısırmak,,werkwoord — zie ook bite (zelfstandig naamwoord),
bite,noun,B1,ısırık,,zelfstandig naamwoord — zie ook bite (werkwoord),
bitter,adjective,B2,acı (tat),,,
bizarre,adjective,C1,tuhaf,garip,,
black,adjective,A1,siyah,,,
blade,noun,C1,bıçak ağzı,bıçak,,
blame,verb,B2,suçlamak,,werkwoord — zie ook blame (zelfstandig naamwoord),
blame,noun,B2,suç (sorumluluk),,zelfstandig naamwoord — zie ook blame (werkwoord),
blank,adjective,A2,boş,,,
blanket,noun,B2,battaniye,,,
blast,noun,C1,patlama,,zelfstandig naamwoord — zie ook blast (werkwoord),
